AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,EXTRANJERO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,SIN REGISTRO,TACNA,TUMBES,UCAYALI
2.0,33.0,8.0,51.0,16.0,16.0,41.0,33.0,0.0,13.0,35.0,46.0,54.0,50.0,20.0,455.0,17.0,2.0,2.0,8.0,33.0,50.0,13.0,0.0,13.0,9.0,10.0
4.0,46.0,14.0,44.0,11.0,17.0,54.0,23.0,3.0,5.0,37.0,46.0,56.0,43.0,20.0,482.0,18.0,2.0,3.0,3.0,48.0,50.0,18.0,1.0,14.0,7.0,4.0
3.0,36.0,15.0,35.0,14.0,25.0,45.0,35.0,0.0,13.0,29.0,55.0,53.0,53.0,10.0,501.0,18.0,1.0,7.0,7.0,35.0,42.0,8.0,0.0,10.0,5.0,7.0
4.0,35.0,12.0,53.0,15.0,20.0,59.0,32.0,1.0,13.0,26.0,41.0,56.0,54.0,11.0,468.0,26.0,2.0,2.0,7.0,37.0,52.0,15.0,0.0,14.0,8.0,4.0
4.0,32.0,20.0,33.0,15.0,25.0,61.0,48.0,1.0,12.0,26.0,56.0,59.0,50.0,11.0,500.0,33.0,6.0,6.0,11.0,44.0,36.0,12.0,1.0,14.0,7.0,6.0
7.0,35.0,8.0,53.0,9.0,29.0,66.0,35.0,2.0,12.0,18.0,51.0,50.0,57.0,15.0,553.0,29.0,5.0,7.0,9.0,35.0,34.0,12.0,0.0,14.0,3.0,6.0
5.0,44.0,6.0,36.0,18.0,29.0,55.0,29.0,1.0,17.0,24.0,38.0,42.0,44.0,15.0,540.0,27.0,2.0,5.0,7.0,40.0,53.0,13.0,1.0,8.0,6.0,12.0
6.0,33.0,6.0,43.0,12.0,15.0,51.0,38.0,2.0,15.0,20.0,42.0,52.0,47.0,8.0,497.0,27.0,3.0,1.0,9.0,37.0,43.0,18.0,1.0,16.0,4.0,9.0
3.0,30.0,8.0,39.0,13.0,23.0,75.0,38.0,3.0,15.0,30.0,47.0,55.0,36.0,12.0,495.0,30.0,2.0,2.0,6.0,34.0,42.0,10.0,0.0,9.0,3.0,12.0
5.0,31.0,9.0,33.0,15.0,21.0,53.0,45.0,1.0,12.0,21.0,53.0,52.0,71.0,8.0,540.0,30.0,1.0,4.0,10.0,35.0,51.0,13.0,2.0,14.0,9.0,16.0
7.0,22.0,7.0,46.0,17.0,16.0,61.0,35.0,2.0,8.0,17.0,47.0,52.0,57.0,10.0,553.0,30.0,1.0,4.0,2.0,48.0,45.0,8.0,3.0,11.0,7.0,14.0
